County,State,Value,Category Range,Year
White,GA,386.2,378.1 - 427.2 (645),2016-2018
Hanover,VA,386.2,378.1 - 427.2 (645),2016-2018
Bullitt,KY,386.4,378.1 - 427.2 (645),2016-2018
Clark,ID,386.4,378.1 - 427.2 (645),2016-2018
Clinton,MI,386.4,378.1 - 427.2 (645),2016-2018
Lincoln,MT,386.5,378.1 - 427.2 (645),2016-2018
Stillwater,MT,386.5,378.1 - 427.2 (645),2016-2018
Clark,WI,386.6,378.1 - 427.2 (645),2016-2018
Juab,UT,386.6,378.1 - 427.2 (645),2016-2018
Marshall,SD,386.7,378.1 - 427.2 (645),2016-2018
Knox,NE,386.7,378.1 - 427.2 (645),2016-2018
Alleghany,NC,386.8,378.1 - 427.2 (645),2016-2018
Lee,NC,386.8,378.1 - 427.2 (645),2016-2018
Washakie,WY,386.8,378.1 - 427.2 (645),2016-2018
Addison,VT,386.9,378.1 - 427.2 (645),2016-2018
Ponce,PR,387.1,378.1 - 427.2 (645),2016-2018
Franklin,ID,387.1,378.1 - 427.2 (645),2016-2018
Spink,SD,387.2,378.1 - 427.2 (645),2016-2018
McHenry,IL,387.6,378.1 - 427.2 (645),2016-2018
Buffalo,NE,387.6,378.1 - 427.2 (645),2016-2018
Custer,MT,387.9,378.1 - 427.2 (645),2016-2018
Nobles,MN,387.9,378.1 - 427.2 (645),2016-2018
Walsh,ND,387.9,378.1 - 427.2 (645),2016-2018
Wallowa,OR,388,378.1 - 427.2 (645),2016-2018
Pottawatomie,KS,388,378.1 - 427.2 (645),2016-2018
Hancock,IN,388.2,378.1 - 427.2 (645),2016-2018
Norton,KS,388.3,378.1 - 427.2 (645),2016-2018
Divide,ND,388.4,378.1 - 427.2 (645),2016-2018
Chesterfield,VA,388.4,378.1 - 427.2 (645),2016-2018
Whitman,WA,388.5,378.1 - 427.2 (645),2016-2018
Saratoga,NY,388.5,378.1 - 427.2 (645),2016-2018
Lake,MT,388.5,378.1 - 427.2 (645),2016-2018
Lancaster,PA,388.8,378.1 - 427.2 (645),2016-2018
Kent,RI,388.9,378.1 - 427.2 (645),2016-2018
Brunswick,NC,388.9,378.1 - 427.2 (645),2016-2018
Fillmore,MN,389,378.1 - 427.2 (645),2016-2018
Cherokee,IA,389.1,378.1 - 427.2 (645),2016-2018
Douglas,OR,389.2,378.1 - 427.2 (645),2016-2018
Passaic,NJ,389.4,378.1 - 427.2 (645),2016-2018
Blaine,NE,389.5,378.1 - 427.2 (645),2016-2018
Jones,SD,389.5,378.1 - 427.2 (645),2016-2018
Roanoke County,VA,389.6,378.1 - 427.2 (645),2016-2018
Cedar,NE,389.6,378.1 - 427.2 (645),2016-2018
Carter,MT,389.6,378.1 - 427.2 (645),2016-2018
New Hanover,NC,389.6,378.1 - 427.2 (645),2016-2018
Gilchrist,FL,389.6,378.1 - 427.2 (645),2016-2018
Sagadahoc,ME,389.7,378.1 - 427.2 (645),2016-2018
Orange,VT,389.7,378.1 - 427.2 (645),2016-2018
New Kent,VA,389.8,378.1 - 427.2 (645),2016-2018
Emmons,ND,389.8,378.1 - 427.2 (645),2016-2018
Boundary,ID,389.9,378.1 - 427.2 (645),2016-2018
Calaveras,CA,390.1,378.1 - 427.2 (645),2016-2018
Midland,MI,390.1,378.1 - 427.2 (645),2016-2018
Penuelas,PR,390.1,378.1 - 427.2 (645),2016-2018
Montgomery,PA,390.1,378.1 - 427.2 (645),2016-2018
Monmouth,NJ,390.2,378.1 - 427.2 (645),2016-2018
Jefferson,OR,390.3,378.1 - 427.2 (645),2016-2018
Craig,VA,390.3,378.1 - 427.2 (645),2016-2018
Barron,WI,390.4,378.1 - 427.2 (645),2016-2018
Crook,WY,390.4,378.1 - 427.2 (645),2016-2018
