FIPS,year,percent_65plus,percent_opioid_deaths,physician_ratio,percent_poor_health,percent_rural,percent_no_health_insurance,percent_nonwhite,percent_limited_english,percent_no_vehicles,percent_veterans,percent_public_transit,percent_disabled
01001,2012,13.085489682279725,,2288.8181818000003,22.2,44.8,12.8,21.077120351712768,,5.1,15.385007519180283,0.1,15.0
01003,2012,17.63917010702359,,1223.6944444,12.5,54.2,15.8,13.626341239780382,,3.1,14.13444876857086,0.3,14.0
01005,2012,15.377820309912032,,2712.3636364,24.8,71.5,17.5,51.04299392041938,,10.0,10.12905931137306,0.1,20.5
01007,2012,13.883619358538846,,3598.1666666999995,20.5,81.5,15.1,23.32118230928016,,5.1,9.43881928951433,0.9,16.2
01009,2012,15.710316081972909,,4445.6923077,25.2,91.0,18.3,5.149131660460098,,3.8,9.770075260650419,0.3,17.3
01011,2012,14.04865170658118,,2184.2,,64.7,17.5,71.90834029130717,,16.0,8.801810385898047,0.1,19.1
01013,2012,17.198838896952104,,2241.2222222,24.1,74.8,16.6,45.103714423540765,,10.1,10.734247967479675,0.5,19.0
01015,2012,15.184742725488523,,1303.7011494,23.1,31.0,15.3,24.97496478096305,,6.1,12.824582286293701,0.4,18.9
01017,2012,17.578583157400892,,2027.8235293999999,41.1,49.8,16.0,41.068715671380154,,8.9,10.35696710451603,0.1,21.0
01019,2012,19.196394175206102,,4068.8333333000005,28.999999999999996,100.0,16.7,7.11116255739476,,4.0,9.992216384510606,0.0,20.5
01021,2012,14.36831719517232,,3284.3076923,21.6,88.0,19.2,13.159523973309486,,5.3,9.607627429409607,0.1,17.5
01023,2012,19.818624198186242,,2816.6,31.2,100.0,16.1,44.572915161150455,,8.4,8.049622236731647,0.0,25.0
01025,2012,17.2609819121447,,1876.0,,74.6,17.0,45.610835144365105,,9.6,8.182756840474962,0.3,17.5
01027,2012,18.281971118058657,,2761.4,21.2,100.0,18.8,18.050332658374312,,6.5,10.242259844729212,0.6,19.7
01029,2012,17.133454227953525,,14736.0,21.2,100.0,16.0,5.2532707145253275,,6.4,8.140872489160252,0.1,18.0
01031,2012,14.921491562542775,,2274.9047619000003,21.0,55.89999999999999,16.0,22.645398871232437,,6.7,17.070802352680058,0.1,17.2
01033,2012,17.861462341946126,,1400.6666667000002,23.6,46.9,14.3,19.34950689610843,,5.9,10.433242828473615,0.3,19.2
01035,2012,19.331595891460985,,2607.6,17.4,100.0,18.2,48.48346982104944,,12.4,10.964696627003638,0.0,21.5
01037,2012,18.623303366825315,,10724.0,24.9,97.4,16.7,32.35736399823087,,4.7,10.542068506817426,0.3,19.5
01039,2012,19.12180928448618,,1526.9166667000002,21.0,72.0,17.3,15.207787741713622,,6.6,12.532074309760855,0.1,23.0
01041,2012,16.816385195831838,,6843.0,22.9,100.0,16.4,27.406771168849758,,6.1,11.017028883243956,0.0,20.4
01043,2012,16.822581247897954,,1852.6818182,20.9,75.7,18.1,4.011044364016268,,5.0,10.626650038062229,0.1,17.6
01045,2012,14.315257809859014,,3723.0769231,23.7,55.50000000000001,14.7,25.017454966187238,,5.5,19.70092503263152,0.3,20.0
01047,2012,14.924396457033351,,991.3255813999999,27.200000000000003,46.6,14.5,70.76562930322225,,15.1,9.334375,0.2,22.3
01049,2012,14.787719891745601,,2870.5833333,21.4,88.3,21.7,8.697797009119226,,4.0,8.34599027946537,0.1,16.1
01051,2012,12.962478021772474,,3255.2083333,17.9,61.9,13.2,24.216563721164754,,3.9,13.66635093141898,0.1,15.0
01053,2012,15.82463245930095,,1975.3684211,26.5,61.4,19.6,36.981270657363204,,7.5,10.567963825705673,0.6,19.0
01055,2012,16.433955388480793,,1379.1333332999998,21.0,39.8,16.7,18.105390300718007,,5.9,11.437195205607594,0.2,19.3
01057,2012,18.3475951608144,,925.10526316,29.2,78.7,15.4,13.34572274812707,,8.4,10.000743549706298,0.1,24.1
01059,2012,15.525402335121488,,2217.9285714000002,23.4,71.9,20.1,11.568342597271348,,7.3,8.666107382550335,0.2,18.4
01061,2012,18.087951270242165,,3710.1428571,23.2,87.2,19.0,13.186895289327207,,4.9,11.401012780323125,0.0,23.3
01063,2012,16.952983725135624,,2259.75,22.0,100.0,16.0,82.265357891254,,14.6,6.823152062982942,2.4,23.3
01065,2012,16.187190835719864,,6027.6666667,24.8,85.0,16.1,60.05079365079366,,12.8,9.407989190102187,0.1,21.6
01067,2012,18.871334460444235,,5541.0,19.5,100.0,16.7,31.183791606367585,,8.1,11.44222869519755,0.5,18.3
01069,2012,15.251859805941706,,1062.9247312,19.5,34.9,16.4,29.89089188736337,,6.4,12.363011902889204,0.3,17.0
01071,2012,17.449462122496655,,1556.8823529000001,26.6,76.7,17.1,7.98626100339721,,4.7,9.507775786056877,0.1,18.5
01073,2012,13.618798257304416,8.0,645.95326193,16.5,10.8,14.5,46.54620450017009,,8.2,9.580758528925653,1.0,14.2
